;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
1284;23/02/24;1200 UTC;936.1
1285;23/02/24;1300 UTC;2822.6
1286;23/02/24;1400 UTC;3268.7
1287;23/02/24;1500 UTC;3612.9
1288;23/02/24;1600 UTC;3701.0
1289;23/02/24;1700 UTC;2930.7
1290;23/02/24;1800 UTC;2546.9
1291;23/02/24;1900 UTC;1266.8
1292;23/02/24;2000 UTC;440.2
1293;23/02/24;2100 UTC;82.7
1305;24/02/24;0900 UTC;35.5
1306;24/02/24;1000 UTC;718.1
1307;24/02/24;1100 UTC;1735.6
1308;24/02/24;1200 UTC;2052.2
1309;24/02/24;1300 UTC;1483.1
1310;24/02/24;1400 UTC;1787.3
1311;24/02/24;1500 UTC;3011.3
1312;24/02/24;1600 UTC;2468.1
1313;24/02/24;1700 UTC;1597.4
1314;24/02/24;1800 UTC;1790.3
1315;24/02/24;1900 UTC;1305.9
1316;24/02/24;2000 UTC;780.9
1317;24/02/24;2100 UTC;70.9
1329;25/02/24;0900 UTC;61.5
1330;25/02/24;1000 UTC;459.7
1331;25/02/24;1100 UTC;1525.0
1332;25/02/24;1200 UTC;1875.9
1333;25/02/24;1300 UTC;2367.4
1334;25/02/24;1400 UTC;3240.5
1335;25/02/24;1500 UTC;2733.6
1336;25/02/24;1600 UTC;2076.8
1337;25/02/24;1700 UTC;2211.0
1338;25/02/24;1800 UTC;2262.7
1339;25/02/24;1900 UTC;2060.1
1340;25/02/24;2000 UTC;905.2
1341;25/02/24;2100 UTC;104.7
1353;26/02/24;0900 UTC;52.9
1354;26/02/24;1000 UTC;757.8
1355;26/02/24;1100 UTC;1729.0
1356;26/02/24;1200 UTC;2350.9
1357;26/02/24;1300 UTC;3001.0
1358;26/02/24;1400 UTC;2382.5
1359;26/02/24;1500 UTC;2614.3
1360;26/02/24;1600 UTC;2929.5
1361;26/02/24;1700 UTC;2202.2
1362;26/02/24;1800 UTC;2738.3
1363;26/02/24;1900 UTC;1832.8
1364;26/02/24;2000 UTC;787.9
1365;26/02/24;2100 UTC;71.9
1377;27/02/24;0900 UTC;24.3
1378;27/02/24;1000 UTC;379.5
1379;27/02/24;1100 UTC;946.7
1380;27/02/24;1200 UTC;1375.1
1381;27/02/24;1300 UTC;2344.1
1382;27/02/24;1400 UTC;2081.4
1383;27/02/24;1500 UTC;3200.9
1384;27/02/24;1600 UTC;3477.9
1385;27/02/24;1700 UTC;2806.5
1386;27/02/24;1800 UTC;2272.8
1387;27/02/24;1900 UTC;1321.3
1388;27/02/24;2000 UTC;588.3
1389;27/02/24;2100 UTC;73.1
1401;28/02/24;0900 UTC;9.8
1402;28/02/24;1000 UTC;472.0
1403;28/02/24;1100 UTC;1481.5
1404;28/02/24;1200 UTC;2093.4
1405;28/02/24;1300 UTC;2163.0
1406;28/02/24;1400 UTC;3329.7
1407;28/02/24;1500 UTC;3562.0
1408;28/02/24;1600 UTC;2679.2
1409;28/02/24;1700 UTC;3213.8
1410;28/02/24;1800 UTC;1353.9
1411;28/02/24;1900 UTC;1287.2
1412;28/02/24;2000 UTC;332.7
1413;28/02/24;2100 UTC;48.9
1425;29/02/24;0900 UTC;82.4
1426;29/02/24;1000 UTC;760.4
1427;29/02/24;1100 UTC;1655.9
1428;29/02/24;1200 UTC;2423.9
1429;29/02/24;1300 UTC;2854.4
1430;29/02/24;1400 UTC;3650.1
1431;29/02/24;1500 UTC;3841.9
1432;29/02/24;1600 UTC;3596.0
1433;29/02/24;1700 UTC;3112.8
1434;29/02/24;1800 UTC;2425.0
1435;29/02/24;1900 UTC;1477.3
1436;29/02/24;2000 UTC;549.7
1437;29/02/24;2100 UTC;41.2
1449;01/03/24;0900 UTC;81.5
1450;01/03/24;1000 UTC;778.9
1451;01/03/24;1100 UTC;1641.3
1452;01/03/24;1200 UTC;2294.4
1453;01/03/24;1300 UTC;3072.7
1454;01/03/24;1400 UTC;3375.9
1455;01/03/24;1500 UTC;1741.3
1456;01/03/24;1600 UTC;3192.1
1457;01/03/24;1700 UTC;3088.1
1458;01/03/24;1800 UTC;2515.5
1459;01/03/24;1900 UTC;1748.4
1460;01/03/24;2000 UTC;755.5
1461;01/03/24;2100 UTC;31.2
1473;02/03/24;0900 UTC;98.2
1474;02/03/24;1000 UTC;732.6
1475;02/03/24;1100 UTC;1710.8
1476;02/03/24;1200 UTC;2455.6
1477;02/03/24;1300 UTC;3093.3
1478;02/03/24;1400 UTC;3067.3
1479;02/03/24;1500 UTC;2521.9
1480;02/03/24;1600 UTC;3441.5
1481;02/03/24;1700 UTC;2942.3
1482;02/03/24;1800 UTC;2502.5
1483;02/03/24;1900 UTC;1871.0
1484;02/03/24;2000 UTC;600.4
1485;02/03/24;2100 UTC;54.2
1497;03/03/24;0900 UTC;74.6
1498;03/03/24;1000 UTC;717.7
1499;03/03/24;1100 UTC;1710.8
1500;03/03/24;1200 UTC;1616.9
1501;03/03/24;1300 UTC;2593.7
1502;03/03/24;1400 UTC;1933.8
1503;03/03/24;1500 UTC;2645.9
1504;03/03/24;1600 UTC;3130.6
1505;03/03/24;1700 UTC;3180.7
1506;03/03/24;1800 UTC;2521.3
1507;03/03/24;1900 UTC;1650.5
1508;03/03/24;2000 UTC;664.4
1509;03/03/24;2100 UTC;33.5
1521;04/03/24;0900 UTC;42.6
1522;04/03/24;1000 UTC;895.5
1523;04/03/24;1100 UTC;1263.5
1524;04/03/24;1200 UTC;2337.1
1525;04/03/24;1300 UTC;3114.5
1526;04/03/24;1400 UTC;3250.4
1527;04/03/24;1500 UTC;3776.6
1528;04/03/24;1600 UTC;3653.9
1529;04/03/24;1700 UTC;3143.2
1530;04/03/24;1800 UTC;2558.9
1531;04/03/24;1900 UTC;1699.9
1532;04/03/24;2000 UTC;611.8
1533;04/03/24;2100 UTC;35.0
1545;05/03/24;0900 UTC;65.2
1546;05/03/24;1000 UTC;796.2
1547;05/03/24;1100 UTC;1543.4
1548;05/03/24;1200 UTC;836.5
1549;05/03/24;1300 UTC;1672.0
1550;05/03/24;1400 UTC;3175.9
1551;05/03/24;1500 UTC;3246.4
1552;05/03/24;1600 UTC;3286.8
1553;05/03/24;1700 UTC;3094.4
1554;05/03/24;1800 UTC;2367.9
1555;05/03/24;1900 UTC;1503.5
1556;05/03/24;2000 UTC;342.8
1557;05/03/24;2100 UTC;22.9
1569;06/03/24;0900 UTC;74.8
1570;06/03/24;1000 UTC;748.6
1571;06/03/24;1100 UTC;1376.3
1572;06/03/24;1200 UTC;1692.8
1573;06/03/24;1300 UTC;2236.4
1574;06/03/24;1400 UTC;3307.3
1575;06/03/24;1500 UTC;4009.3
1576;06/03/24;1600 UTC;3577.3
1577;06/03/24;1700 UTC;3066.4
1578;06/03/24;1800 UTC;2237.7
1579;06/03/24;1900 UTC;1239.7
1580;06/03/24;2000 UTC;425.1
1581;06/03/24;2100 UTC;64.2
1582;06/03/24;2200 UTC;0.6
1593;07/03/24;0900 UTC;27.9
1594;07/03/24;1000 UTC;322.0
1595;07/03/24;1100 UTC;960.7
1596;07/03/24;1200 UTC;1790.3
1597;07/03/24;1300 UTC;2273.7
1598;07/03/24;1400 UTC;1796.5
1599;07/03/24;1500 UTC;2490.9
1600;07/03/24;1600 UTC;3037.7
1601;07/03/24;1700 UTC;2037.7
1602;07/03/24;1800 UTC;2259.7
1603;07/03/24;1900 UTC;1448.4
1604;07/03/24;2000 UTC;505.7
1605;07/03/24;2100 UTC;32.1
1617;08/03/24;0900 UTC;64.8
1618;08/03/24;1000 UTC;691.8
1619;08/03/24;1100 UTC;1481.5
1620;08/03/24;1200 UTC;1804.9
1621;08/03/24;1300 UTC;2991.9
1622;08/03/24;1400 UTC;2546.6
1623;08/03/24;1500 UTC;3499.6
1624;08/03/24;1600 UTC;3408.9
1625;08/03/24;1700 UTC;3121.7
1626;08/03/24;1800 UTC;2539.4
1627;08/03/24;1900 UTC;1521.7
1628;08/03/24;2000 UTC;330.1
1629;08/03/24;2100 UTC;38.7
1641;09/03/24;0900 UTC;29.9
1642;09/03/24;1000 UTC;189.6
1643;09/03/24;1100 UTC;1202.8
1644;09/03/24;1200 UTC;1055.3
1645;09/03/24;1300 UTC;1844.2
1646;09/03/24;1400 UTC;1880.8
1647;09/03/24;1500 UTC;2258.9
1648;09/03/24;1600 UTC;2470.5
1649;09/03/24;1700 UTC;2741.4
1650;09/03/24;1800 UTC;2177.5
1651;09/03/24;1900 UTC;1233.5
1652;09/03/24;2000 UTC;387.7
1653;09/03/24;2100 UTC;41.1
1665;10/03/24;0900 UTC;35.8
1666;10/03/24;1000 UTC;731.2
1667;10/03/24;1100 UTC;921.5
1668;10/03/24;1200 UTC;2467.9
1669;10/03/24;1300 UTC;3208.9
1670;10/03/24;1400 UTC;3714.0
1671;10/03/24;1500 UTC;3731.9
1672;10/03/24;1600 UTC;3603.8
1673;10/03/24;1700 UTC;3143.0
1674;10/03/24;1800 UTC;2573.2
1675;10/03/24;1900 UTC;1424.5
1676;10/03/24;2000 UTC;227.3
1677;10/03/24;2100 UTC;32.7
1689;11/03/24;0900 UTC;73.1
1690;11/03/24;1000 UTC;784.6
1691;11/03/24;1100 UTC;1708.8
1692;11/03/24;1200 UTC;2409.0
1693;11/03/24;1300 UTC;2862.6
1694;11/03/24;1400 UTC;2424.9
1695;11/03/24;1500 UTC;2993.7
1696;11/03/24;1600 UTC;3316.8
1697;11/03/24;1700 UTC;2647.4
1698;11/03/24;1800 UTC;2429.4
1699;11/03/24;1900 UTC;1318.1
1700;11/03/24;2000 UTC;312.5
1701;11/03/24;2100 UTC;45.7
1713;12/03/24;0900 UTC;72.8
1714;12/03/24;1000 UTC;729.3
1715;12/03/24;1100 UTC;1681.7
1716;12/03/24;1200 UTC;2394.3
1717;12/03/24;1300 UTC;2423.4
1718;12/03/24;1400 UTC;2778.3
1719;12/03/24;1500 UTC;3304.0
1720;12/03/24;1600 UTC;3195.5
1721;12/03/24;1700 UTC;1715.8
1722;12/03/24;1800 UTC;2416.3
1723;12/03/24;1900 UTC;1314.0
1724;12/03/24;2000 UTC;165.8
1725;12/03/24;2100 UTC;29.4
1737;13/03/24;0900 UTC;84.7
1738;13/03/24;1000 UTC;671.5
1739;13/03/24;1100 UTC;1526.2
1740;13/03/24;1200 UTC;1696.3
1741;13/03/24;1300 UTC;1922.8
1742;13/03/24;1400 UTC;1303.2
1743;13/03/24;1500 UTC;2331.6
1744;13/03/24;1600 UTC;3108.9
1745;13/03/24;1700 UTC;1889.2
1746;13/03/24;1800 UTC;549.0
1747;13/03/24;1900 UTC;1178.4
1748;13/03/24;2000 UTC;308.4
1749;13/03/24;2100 UTC;30.5
1761;14/03/24;0900 UTC;53.4
1762;14/03/24;1000 UTC;400.2
1763;14/03/24;1100 UTC;922.6
1764;14/03/24;1200 UTC;1479.5
1765;14/03/24;1300 UTC;852.8
1766;14/03/24;1400 UTC;1304.6
1767;14/03/24;1500 UTC;1325.3
1768;14/03/24;1600 UTC;1017.5
1769;14/03/24;1700 UTC;1450.8
1770;14/03/24;1800 UTC;2121.5
1771;14/03/24;1900 UTC;576.1
1772;14/03/24;2000 UTC;277.6
1773;14/03/24;2100 UTC;42.3
1785;15/03/24;0900 UTC;53.2
1786;15/03/24;1000 UTC;727.7
1787;15/03/24;1100 UTC;1400.3
1788;15/03/24;1200 UTC;1523.4
1789;15/03/24;1300 UTC;2334.6
1790;15/03/24;1400 UTC;3609.0
1791;15/03/24;1500 UTC;3705.2
1792;15/03/24;1600 UTC;2974.8
1793;15/03/24;1700 UTC;2799.5
1794;15/03/24;1800 UTC;2365.9
1795;15/03/24;1900 UTC;926.3
1796;15/03/24;2000 UTC;272.0
1797;15/03/24;2100 UTC;31.2
1809;16/03/24;0900 UTC;35.2
1810;16/03/24;1000 UTC;589.1
1811;16/03/24;1100 UTC;634.5
1812;16/03/24;1200 UTC;1475.7
1813;16/03/24;1300 UTC;1924.2
1814;16/03/24;1400 UTC;2522.7
1815;16/03/24;1500 UTC;3180.0
1816;16/03/24;1600 UTC;2886.7
1817;16/03/24;1700 UTC;2714.2
1818;16/03/24;1800 UTC;2044.5
1819;16/03/24;1900 UTC;1158.6
1820;16/03/24;2000 UTC;175.3
1821;16/03/24;2100 UTC;30.6
1833;17/03/24;0900 UTC;66.5
1834;17/03/24;1000 UTC;599.9
1835;17/03/24;1100 UTC;434.7
1836;17/03/24;1200 UTC;1483.2
1837;17/03/24;1300 UTC;1202.1
1838;17/03/24;1400 UTC;1065.8
1839;17/03/24;1500 UTC;674.5
1840;17/03/24;1600 UTC;1086.7
1841;17/03/24;1700 UTC;591.8
1842;17/03/24;1800 UTC;173.3
1843;17/03/24;1900 UTC;421.6
1844;17/03/24;2000 UTC;241.0
1845;17/03/24;2100 UTC;35.0
1857;18/03/24;0900 UTC;27.9
1858;18/03/24;1000 UTC;618.9
1859;18/03/24;1100 UTC;1620.9
1860;18/03/24;1200 UTC;1822.9
1861;18/03/24;1300 UTC;2299.9
1862;18/03/24;1400 UTC;3301.7
1863;18/03/24;1500 UTC;3651.6
1864;18/03/24;1600 UTC;2707.6
1865;18/03/24;1700 UTC;3039.8
1866;18/03/24;1800 UTC;2505.5
1867;18/03/24;1900 UTC;1242.4
1868;18/03/24;2000 UTC;262.5
1869;18/03/24;2100 UTC;31.0
1881;19/03/24;0900 UTC;75.9
1882;19/03/24;1000 UTC;698.1
1883;19/03/24;1100 UTC;1306.8
1884;19/03/24;1200 UTC;1530.1
1885;19/03/24;1300 UTC;2811.0
1886;19/03/24;1400 UTC;3491.8
1887;19/03/24;1500 UTC;3885.2
1888;19/03/24;1600 UTC;3521.8
1889;19/03/24;1700 UTC;2573.6
1890;19/03/24;1800 UTC;2340.0
1891;19/03/24;1900 UTC;1171.4
1892;19/03/24;2000 UTC;170.6
1893;19/03/24;2100 UTC;40.3
1905;20/03/24;0900 UTC;43.8
1906;20/03/24;1000 UTC;718.2
1907;20/03/24;1100 UTC;1386.7
1908;20/03/24;1200 UTC;1853.0
1909;20/03/24;1300 UTC;2639.9
1910;20/03/24;1400 UTC;3258.7
1911;20/03/24;1500 UTC;3437.0
1912;20/03/24;1600 UTC;3200.0
1913;20/03/24;1700 UTC;2997.0
1914;20/03/24;1800 UTC;2471.0
1915;20/03/24;1900 UTC;880.3
1916;20/03/24;2000 UTC;185.0
1917;20/03/24;2100 UTC;27.2
1929;21/03/24;0900 UTC;65.0
1930;21/03/24;1000 UTC;754.2
1931;21/03/24;1100 UTC;1746.8
1932;21/03/24;1200 UTC;2311.1
1933;21/03/24;1300 UTC;2357.4
1934;21/03/24;1400 UTC;2860.0
1935;21/03/24;1500 UTC;3275.3
1936;21/03/24;1600 UTC;3119.2
1937;21/03/24;1700 UTC;3036.9
1938;21/03/24;1800 UTC;2410.9
1939;21/03/24;1900 UTC;1025.4
1940;21/03/24;2000 UTC;258.3
1941;21/03/24;2100 UTC;28.3
1953;22/03/24;0900 UTC;39.9
1954;22/03/24;1000 UTC;719.7
1955;22/03/24;1100 UTC;1565.7
1956;22/03/24;1200 UTC;1740.5
1957;22/03/24;1300 UTC;2590.6
1958;22/03/24;1400 UTC;2092.7
1959;22/03/24;1500 UTC;656.9
1960;22/03/24;1600 UTC;2059.4
1961;22/03/24;1700 UTC;2174.7
1962;22/03/24;1800 UTC;2152.4
1963;22/03/24;1900 UTC;968.5
1964;22/03/24;2000 UTC;224.9
1965;22/03/24;2100 UTC;23.5
1977;23/03/24;0900 UTC;70.1
1978;23/03/24;1000 UTC;540.3
1979;23/03/24;1100 UTC;1104.5
1980;23/03/24;1200 UTC;1024.5
1981;23/03/24;1300 UTC;2271.0
1982;23/03/24;1400 UTC;2544.3
1983;23/03/24;1500 UTC;2234.6
1984;23/03/24;1600 UTC;3097.5
1985;23/03/24;1700 UTC;3200.3
1986;23/03/24;1800 UTC;2268.4
1987;23/03/24;1900 UTC;704.9
1988;23/03/24;2000 UTC;161.5
1989;23/03/24;2100 UTC;23.1
2001;24/03/24;0900 UTC;41.6
2002;24/03/24;1000 UTC;638.0
2003;24/03/24;1100 UTC;1578.8
2004;24/03/24;1200 UTC;2071.0
2005;24/03/24;1300 UTC;2666.4
2006;24/03/24;1400 UTC;2940.5
2007;24/03/24;1500 UTC;2579.8
2008;24/03/24;1600 UTC;2683.0
2009;24/03/24;1700 UTC;2390.1
2010;24/03/24;1800 UTC;1893.9
2011;24/03/24;1900 UTC;891.7
2012;24/03/24;2000 UTC;256.8
2013;24/03/24;2100 UTC;28.1
2025;25/03/24;0900 UTC;34.4
2026;25/03/24;1000 UTC;373.0
2027;25/03/24;1100 UTC;1214.7
2028;25/03/24;1200 UTC;2175.4
2029;25/03/24;1300 UTC;2299.7
2030;25/03/24;1400 UTC;2334.7
2031;25/03/24;1500 UTC;2535.5
2032;25/03/24;1600 UTC;3456.8
2033;25/03/24;1700 UTC;2527.5
2034;25/03/24;1800 UTC;2470.4
2035;25/03/24;1900 UTC;859.9
2036;25/03/24;2000 UTC;263.2
2037;25/03/24;2100 UTC;18.6
2049;26/03/24;0900 UTC;64.5
2050;26/03/24;1000 UTC;644.0
2051;26/03/24;1100 UTC;1530.0
2052;26/03/24;1200 UTC;1466.0
2053;26/03/24;1300 UTC;2758.5
2054;26/03/24;1400 UTC;3511.3
2055;26/03/24;1500 UTC;3475.1
2056;26/03/24;1600 UTC;3141.6
2057;26/03/24;1700 UTC;2960.4
2058;26/03/24;1800 UTC;2181.1
2059;26/03/24;1900 UTC;607.7
2060;26/03/24;2000 UTC;228.0
2061;26/03/24;2100 UTC;22.6
2073;27/03/24;0900 UTC;28.6
2074;27/03/24;1000 UTC;350.9
2075;27/03/24;1100 UTC;1745.4
2076;27/03/24;1200 UTC;1783.3
2077;27/03/24;1300 UTC;1107.7
2078;27/03/24;1400 UTC;3221.9
2079;27/03/24;1500 UTC;3429.0
2080;27/03/24;1600 UTC;3104.7
2081;27/03/24;1700 UTC;1894.9
2082;27/03/24;1800 UTC;1853.1
2083;27/03/24;1900 UTC;717.5
2084;27/03/24;2000 UTC;249.4
2085;27/03/24;2100 UTC;15.5
2097;28/03/24;0900 UTC;39.0
2098;28/03/24;1000 UTC;370.9
2099;28/03/24;1100 UTC;1369.5
2100;28/03/24;1200 UTC;1311.2
2101;28/03/24;1300 UTC;2439.6
2102;28/03/24;1400 UTC;2086.9
2103;28/03/24;1500 UTC;3168.9
2104;28/03/24;1600 UTC;2816.0
2105;28/03/24;1700 UTC;2178.4
2106;28/03/24;1800 UTC;867.7
2107;28/03/24;1900 UTC;526.6
2108;28/03/24;2000 UTC;273.0
2109;28/03/24;2100 UTC;14.3
2121;29/03/24;0900 UTC;52.8
2122;29/03/24;1000 UTC;537.5
2123;29/03/24;1100 UTC;1572.5
2124;29/03/24;1200 UTC;1681.5
2125;29/03/24;1300 UTC;1903.4
2126;29/03/24;1400 UTC;2971.4
2127;29/03/24;1500 UTC;3283.6
2128;29/03/24;1600 UTC;3168.4
2129;29/03/24;1700 UTC;2711.8
2130;29/03/24;1800 UTC;1162.0
2131;29/03/24;1900 UTC;617.5
2132;29/03/24;2000 UTC;247.2
2133;29/03/24;2100 UTC;33.2
2136;30/03/24;0000 UTC;1.1
2137;30/03/24;0100 UTC;0.7
2138;30/03/24;0200 UTC;1.2
2146;30/03/24;1000 UTC;5.8
2147;30/03/24;1100 UTC;18.4
2148;30/03/24;1200 UTC;52.5
2149;30/03/24;1300 UTC;124.8
2150;30/03/24;1400 UTC;398.3
2151;30/03/24;1500 UTC;623.5
2152;30/03/24;1600 UTC;1183.2
2153;30/03/24;1700 UTC;1513.5
2154;30/03/24;1800 UTC;1185.0
2155;30/03/24;1900 UTC;568.1
2156;30/03/24;2000 UTC;298.9
2157;30/03/24;2100 UTC;16.0
2169;31/03/24;0900 UTC;43.2
2170;31/03/24;1000 UTC;388.7
2171;31/03/24;1100 UTC;557.9
2172;31/03/24;1200 UTC;1619.8
2173;31/03/24;1300 UTC;2521.6
2174;31/03/24;1400 UTC;1300.9
2175;31/03/24;1500 UTC;2614.9
2176;31/03/24;1600 UTC;1477.5
2177;31/03/24;1700 UTC;1604.2
2178;31/03/24;1800 UTC;1200.8
2179;31/03/24;1900 UTC;654.8
2180;31/03/24;2000 UTC;173.6
2181;31/03/24;2100 UTC;6.3
2193;01/04/24;0900 UTC;85.4
2194;01/04/24;1000 UTC;723.1
2195;01/04/24;1100 UTC;1554.7
2196;01/04/24;1200 UTC;2146.1
2197;01/04/24;1300 UTC;2593.2
2198;01/04/24;1400 UTC;2941.5
2199;01/04/24;1500 UTC;3085.0
2200;01/04/24;1600 UTC;3125.7
2201;01/04/24;1700 UTC;2504.7
2202;01/04/24;1800 UTC;2305.5
2203;01/04/24;1900 UTC;690.8
2204;01/04/24;2000 UTC;197.1
2205;01/04/24;2100 UTC;15.9
2217;02/04/24;0900 UTC;5.9
2218;02/04/24;1000 UTC;262.8
2219;02/04/24;1100 UTC;1234.4
2220;02/04/24;1200 UTC;2221.2
2221;02/04/24;1300 UTC;2401.9
2222;02/04/24;1400 UTC;3005.4
2223;02/04/24;1500 UTC;2693.5
2224;02/04/24;1600 UTC;1750.7
2225;02/04/24;1700 UTC;1933.3
2226;02/04/24;1800 UTC;1648.5
2227;02/04/24;1900 UTC;537.7
2228;02/04/24;2000 UTC;138.4
2229;02/04/24;2100 UTC;5.3
2241;03/04/24;0900 UTC;29.2
2242;03/04/24;1000 UTC;683.2
2243;03/04/24;1100 UTC;1548.4
2244;03/04/24;1200 UTC;1079.5
2245;03/04/24;1300 UTC;1652.2
2246;03/04/24;1400 UTC;1422.9
2247;03/04/24;1500 UTC;1034.2
2248;03/04/24;1600 UTC;2433.6
2249;03/04/24;1700 UTC;2984.6
2250;03/04/24;1800 UTC;2256.9
2251;03/04/24;1900 UTC;641.6
2252;03/04/24;2000 UTC;191.3
2253;03/04/24;2100 UTC;15.1
2265;04/04/24;0900 UTC;17.8
2266;04/04/24;1000 UTC;153.0
2267;04/04/24;1100 UTC;173.4
2268;04/04/24;1200 UTC;664.8
2269;04/04/24;1300 UTC;1096.0
2270;04/04/24;1400 UTC;1329.9
2271;04/04/24;1500 UTC;691.0
2272;04/04/24;1600 UTC;612.3
2273;04/04/24;1700 UTC;424.4
2274;04/04/24;1800 UTC;409.3
2275;04/04/24;1900 UTC;445.8
2276;04/04/24;2000 UTC;205.6
2277;04/04/24;2100 UTC;10.0
2289;05/04/24;0900 UTC;104.4
2290;05/04/24;1000 UTC;745.7
2291;05/04/24;1100 UTC;1667.3
2292;05/04/24;1200 UTC;2128.6
2293;05/04/24;1300 UTC;2557.5
2294;05/04/24;1400 UTC;2839.8
2295;05/04/24;1500 UTC;3092.9
2296;05/04/24;1600 UTC;1714.2
2297;05/04/24;1700 UTC;2151.3
2298;05/04/24;1800 UTC;2062.7
2299;05/04/24;1900 UTC;435.5
2300;05/04/24;2000 UTC;265.2
2301;05/04/24;2100 UTC;19.5
2313;06/04/24;0900 UTC;76.8
2314;06/04/24;1000 UTC;770.7
2315;06/04/24;1100 UTC;1652.4
2316;06/04/24;1200 UTC;2041.8
2317;06/04/24;1300 UTC;2189.0
2318;06/04/24;1400 UTC;2664.0
2319;06/04/24;1500 UTC;2965.3
2320;06/04/24;1600 UTC;1899.1
2321;06/04/24;1700 UTC;2851.8
2322;06/04/24;1800 UTC;2327.8
2323;06/04/24;1900 UTC;471.9
2324;06/04/24;2000 UTC;109.8
2325;06/04/24;2100 UTC;9.5
2337;07/04/24;0900 UTC;55.7
2338;07/04/24;1000 UTC;509.6
2339;07/04/24;1100 UTC;1629.8
2340;07/04/24;1200 UTC;1455.6
2341;07/04/24;1300 UTC;2180.2
2342;07/04/24;1400 UTC;2530.5
2343;07/04/24;1500 UTC;2818.1
2344;07/04/24;1600 UTC;3192.6
2345;07/04/24;1700 UTC;2834.6
2346;07/04/24;1800 UTC;1843.9
2347;07/04/24;1900 UTC;569.4
2348;07/04/24;2000 UTC;140.3
2349;07/04/24;2100 UTC;9.5
2361;08/04/24;0900 UTC;100.1
2362;08/04/24;1000 UTC;808.0
2363;08/04/24;1100 UTC;1624.9
2364;08/04/24;1200 UTC;695.4
2365;08/04/24;1300 UTC;1749.3
2366;08/04/24;1400 UTC;3006.6
2367;08/04/24;1500 UTC;2799.6
2368;08/04/24;1600 UTC;2820.7
2369;08/04/24;1700 UTC;2612.7
2370;08/04/24;1800 UTC;2158.8
2371;08/04/24;1900 UTC;519.0
2372;08/04/24;2000 UTC;145.1
2373;08/04/24;2100 UTC;12.3
2385;09/04/24;0900 UTC;19.7
2386;09/04/24;1000 UTC;175.6
2387;09/04/24;1100 UTC;1288.3
2388;09/04/24;1200 UTC;2052.8
2389;09/04/24;1300 UTC;1497.8
2390;09/04/24;1400 UTC;1852.7
2391;09/04/24;1500 UTC;1360.8
2392;09/04/24;1600 UTC;1124.6
2393;09/04/24;1700 UTC;930.8
2394;09/04/24;1800 UTC;536.1
2395;09/04/24;1900 UTC;80.4
2396;09/04/24;2000 UTC;21.8
2397;09/04/24;2100 UTC;0.6
2409;10/04/24;0900 UTC;85.6
2410;10/04/24;1000 UTC;642.1
2411;10/04/24;1100 UTC;1653.0
2412;10/04/24;1200 UTC;1239.0
2413;10/04/24;1300 UTC;2172.9
2414;10/04/24;1400 UTC;1529.0
2415;10/04/24;1500 UTC;1746.4
2416;10/04/24;1600 UTC;2091.4
2417;10/04/24;1700 UTC;2056.0
2418;10/04/24;1800 UTC;1339.5
2419;10/04/24;1900 UTC;692.9
2420;10/04/24;2000 UTC;250.0
2421;10/04/24;2100 UTC;12.6
2433;11/04/24;0900 UTC;61.9
2434;11/04/24;1000 UTC;767.8
2435;11/04/24;1100 UTC;1554.3
2436;11/04/24;1200 UTC;1944.2
2437;11/04/24;1300 UTC;1325.9
2438;11/04/24;1400 UTC;1640.5
2439;11/04/24;1500 UTC;3203.5
2440;11/04/24;1600 UTC;2646.5
2441;11/04/24;1700 UTC;2088.9
2442;11/04/24;1800 UTC;1488.5
2443;11/04/24;1900 UTC;464.9
2444;11/04/24;2000 UTC;153.8
2445;11/04/24;2100 UTC;2.8
2457;12/04/24;0900 UTC;39.9
2458;12/04/24;1000 UTC;380.3
2459;12/04/24;1100 UTC;849.3
2460;12/04/24;1200 UTC;2148.3
2461;12/04/24;1300 UTC;2788.1
2462;12/04/24;1400 UTC;2273.9
2463;12/04/24;1500 UTC;3435.0
2464;12/04/24;1600 UTC;3355.0
2465;12/04/24;1700 UTC;1891.2
2466;12/04/24;1800 UTC;1879.5
2467;12/04/24;1900 UTC;522.6
2468;12/04/24;2000 UTC;195.4
2469;12/04/24;2100 UTC;7.0
2481;13/04/24;0900 UTC;38.1
2482;13/04/24;1000 UTC;221.1
2483;13/04/24;1100 UTC;1193.7
2484;13/04/24;1200 UTC;1446.8
2485;13/04/24;1300 UTC;2357.8
2486;13/04/24;1400 UTC;2555.1
2487;13/04/24;1500 UTC;2388.0
2488;13/04/24;1600 UTC;2041.8
2489;13/04/24;1700 UTC;2207.4
2490;13/04/24;1800 UTC;1537.2
2491;13/04/24;1900 UTC;564.1
2492;13/04/24;2000 UTC;160.1
2493;13/04/24;2100 UTC;7.7
2505;14/04/24;0900 UTC;40.9
2506;14/04/24;1000 UTC;197.1
2507;14/04/24;1100 UTC;458.0
2508;14/04/24;1200 UTC;775.4
2509;14/04/24;1300 UTC;1513.8
2510;14/04/24;1400 UTC;1225.7
2511;14/04/24;1500 UTC;522.4
2512;14/04/24;1600 UTC;1928.5
2513;14/04/24;1700 UTC;1422.2
2514;14/04/24;1800 UTC;471.0
2515;14/04/24;1900 UTC;560.9
2516;14/04/24;2000 UTC;91.6
2517;14/04/24;2100 UTC;7.8
2529;15/04/24;0900 UTC;22.8
2530;15/04/24;1000 UTC;120.2
